[0.000000] (-) TimerEvent: {}
[0.000705] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001015] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001154] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001217] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001367] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001525] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001715] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001765] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001808] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001850] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001892] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001932] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001971] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.002011] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.002051] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.002090] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.002130] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.002170] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.002210] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.002252] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.002292] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.002331] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.002371] (-) JobUnselected: {'identifier': 'mavlink_thruster_control'}
[0.002410] (-) JobUnselected: {'identifier': 'rviz_plugin_zed_od'}
[0.002450] (-) JobUnselected: {'identifier': 'zed_aruco_localization'}
[0.002489] (-) JobUnselected: {'identifier': 'zed_components'}
[0.002529] (-) JobUnselected: {'identifier': 'zed_depth_to_laserscan'}
[0.002568] (-) JobUnselected: {'identifier': 'zed_display_rviz2'}
[0.002607] (-) JobUnselected: {'identifier': 'zed_ipc'}
[0.002646] (-) JobUnselected: {'identifier': 'zed_multi_camera'}
[0.002686] (-) JobUnselected: {'identifier': 'zed_rgb_convert'}
[0.002726] (-) JobUnselected: {'identifier': 'zed_robot_integration'}
[0.002766] (-) JobUnselected: {'identifier': 'zed_ros2'}
[0.002805] (-) JobUnselected: {'identifier': 'zed_topic_benchmark'}
[0.002845] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_component'}
[0.002885] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_interfaces'}
[0.002924] (-) JobUnselected: {'identifier': 'zed_tutorial_depth'}
[0.002963] (-) JobUnselected: {'identifier': 'zed_tutorial_pos_tracking'}
[0.003002] (-) JobUnselected: {'identifier': 'zed_tutorial_video'}
[0.003041] (-) JobUnselected: {'identifier': 'zed_wrapper'}
[0.003082] (-) EventReactorShutdown: {}
